ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,32092,SUMMARY.TXT,0.21271,0.36905,0.26987,4

ROUGE-SU4+StopWordRemoval,32092,SUMMARY.TXT,0.26486,0.38357,0.31335,4

ROUGE-L+StopWordRemoval,31201,SUMMARY.TXT,0.33715,0.35048,0.34369,4

ROUGE-1+StopWordRemoval,31201,SUMMARY.TXT,0.35878,0.48262,0.41158,4

ROUGE-2+StopWordRemoval,31201,SUMMARY.TXT,0.14799,0.15893,0.15327,4

ROUGE-SU4+StopWordRemoval,31201,SUMMARY.TXT,0.22067,0.18775,0.20288,4

ROUGE-L+StopWordRemoval,31685,SUMMARY.TXT,0.24363,0.55342,0.33832,3

ROUGE-1+StopWordRemoval,31685,SUMMARY.TXT,0.19174,0.66184,0.29734,3

ROUGE-2+StopWordRemoval,31685,SUMMARY.TXT,0.10279,0.35030,0.15894,3

ROUGE-SU4+StopWordRemoval,31685,SUMMARY.TXT,0.13623,0.36837,0.19890,3

ROUGE-L+StopWordRemoval,32531,SUMMARY.TXT,0.34986,0.49258,0.40913,3

ROUGE-1+StopWordRemoval,32531,SUMMARY.TXT,0.31391,0.59384,0.41071,3

ROUGE-2+StopWordRemoval,32531,SUMMARY.TXT,0.17640,0.33785,0.23178,3

ROUGE-SU4+StopWordRemoval,32531,SUMMARY.TXT,0.22547,0.33318,0.26894,3

ROUGE-L+StopWordRemoval,32773,SUMMARY.TXT,0.32426,0.49792,0.39275,3

ROUGE-1+StopWordRemoval,32773,SUMMARY.TXT,0.29472,0.58243,0.39139,3

ROUGE-2+StopWordRemoval,32773,SUMMARY.TXT,0.18417,0.30435,0.22948,3

ROUGE-SU4+StopWordRemoval,32773,SUMMARY.TXT,0.22702,0.31176,0.26272,3

ROUGE-L+StopWordRemoval,31203,SUMMARY.TXT,0.29323,0.48997,0.36689,3

ROUGE-1+StopWordRemoval,31203,SUMMARY.TXT,0.25176,0.60014,0.35472,3

ROUGE-2+StopWordRemoval,31203,SUMMARY.TXT,0.13459,0.27447,0.18062,3

ROUGE-SU4+StopWordRemoval,31203,SUMMARY.TXT,0.17926,0.28870,0.22118,3

ROUGE-L+StopWordRemoval,31202,SUMMARY.TXT,0.33263,0.37901,0.35431,3

